time_Gyr,particle_0_kinetic_energy_J,particle_0_potential_energy_J,particle_0_ang_mom_kg_m2_s,particle_0_x_kpc,particle_0_y_kpc,particle_0_z_kpc,particle_0_v_x_kms,particle_0_v_y_kms,particle_0_v_z_kms,particle_1_kinetic_energy_J,particle_1_potential_energy_J,particle_1_ang_mom_kg_m2_s,particle_1_x_kpc,particle_1_y_kpc,particle_1_z_kpc,particle_1_v_x_kms,particle_1_v_y_kms,particle_1_v_z_kms,particle_2_kinetic_energy_J,particle_2_potential_energy_J,particle_2_ang_mom_kg_m2_s,particle_2_x_kpc,particle_2_y_kpc,particle_2_z_kpc,particle_2_v_x_kms,particle_2_v_y_kms,particle_2_v_z_kms,particle_3_kinetic_energy_J,particle_3_potential_energy_J,particle_3_ang_mom_kg_m2_s,particle_3_x_kpc,particle_3_y_kpc,particle_3_z_kpc,particle_3_v_x_kms,particle_3_v_y_kms,particle_3_v_z_kms,particle_4_kinetic_energy_J,particle_4_potential_energy_J,particle_4_ang_mom_kg_m2_s,particle_4_x_kpc,particle_4_y_kpc,particle_4_z_kpc,particle_4_v_x_kms,particle_4_v_y_kms,particle_4_v_z_kms
0.0,1529.0691113653431,-6410.020558092052,8.193796264304506,-0.8429506901166613,-0.0035073362541569435,0.5303622977762066,5.506858608681004,-11.968545389124131,8.673377747056175,1527.162545249351,-6456.820407248501,8.065227032053427,-0.9368532148338924,0.2897334873196077,0.023240222301400597,3.4459623576558016,10.220398541157186,11.495983057985349,1529.102301055663,-6408.967464993981,8.196174292763757,0.8198312952955591,0.1577129061884991,-0.5435254232238773,0.6593963615608406,-15.373808997512805,-3.4663591480190963,1531.5568001258162,-6342.2253335332,8.384463063017849,-0.7828334325419676,-0.5181339210974467,-0.3944390024249826,9.635021161491522,-6.361757658973321,-10.765604368338172,1527.4588069983301,-6449.243960137023,8.084099965798881,-0.08275969326119856,-0.8498394613674345,-0.4872618554873617,-10.680489487213123,6.533065117986585,-9.58035695701602
0.0037635122511674064,1528.9879038718602,-6409.939130618974,8.193581317422721,-0.8202102507321264,-0.04952419481894845,0.5627303723093462,6.309457249446836,-11.942590469146031,8.145619719769794,1527.2282177984168,-6456.883345607999,8.065395263602436,-0.9218110716668195,0.328480877783171,0.06740158057959557,4.370188941786099,9.91339908049499,11.451003555385794,1529.081555407801,-6408.949368217314,8.19612750188385,0.8208470789777331,0.09830177534387771,-0.5558467122923852,-0.13157802748488345,-15.497216653206621,-2.9359904702473276,1531.5537273344046,-6342.223357373163,8.38445210340367,-0.7443885364392805,-0.5416772410878221,-0.4351366601194362,10.34159528819764,-5.871748503816312,-10.38158500086435,1527.4666662541993,-6449.253932663036,8.084123201122443,-0.12367222639961101,-0.8231006355006667,-0.5231744450723568,-10.578352786888827,7.360879795499937,-9.08043031467603
0.007527024502334813,1528.8203790268817,-6409.200238253841,8.193143093821979,-0.7944264767010968,-0.09535522521735612,0.5930088603853215,7.0882266217116285,-11.871985939581501,7.587593379691942,1527.3252481010663,-6457.148990164412,8.06562459949978,-0.9032421515023987,0.36597357384355844,0.11130528535006579,5.278535170219009,9.568438166836808,11.362101949632583,1529.0017286116213,-6408.124695424343,8.19594689164047,0.81882040516828,0.03852672565003557,-0.5661056882602672,-0.9215158670059664,-15.562907369642033,-2.394746476721087,1531.5405968736104,-6341.726630702817,8.384412715593436,-0.703295184379731,-0.5632950008551438,-0.4742849489233885,11.011203547127712,-5.361204089418114,-9.960526160246438,1527.4652304126212,-6448.40939270771,8.084133361990022,-0.16411428231021263,-0.793230156600882,-0.5570967032646083,-10.436021584290819,8.160324854285085,-8.54614719522052
0.01129053675350222,1528.5991881850287,-6408.359849935341,8.192574414751366,-0.7656965918921503,-0.14082943404150752,0.62108548311961,7.8403061005281485,-11.757179960795265,7.001493350244628,1527.3899839162486,-6457.545781423253,8.0657222528812,-0.8812143704697827,0.4020673341522677,0.154782270007873,6.167471388127497,9.1864884686315,11.22927258752811,1528.827394730049,-6407.1129397582945,8.195547573437093,0.8137605495620865,-0.021389384299921772,-0.5742643565167007,-1.7076704485391287,-15.570513941491186,-1.8446351583260316,1531.4807742871262,-6341.207915236703,8.384259452462127,-0.6597010004258018,-0.5829119265973768,-0.5117445252351495,11.641069721051776,-4.832081397110548,-9.50410150708145,1527.4283135012838,-6447.607585194405,8.084078510054669,-0.20393244033679414,-0.7603436404938408,-0.5889003997614926,-10.25416492331514,8.928063598687444,-7.97958992482784
0.015054049004669626,1528.3647825973387,-6407.478816080901,8.191988282013009,-0.7341285133699865,-0.1857779118289432,0.6468565983411658,8.56299994578104,-11.598807225608262,6.389612790000184,1527.3791747553114,-6457.823938489907,8.065551677297469,-0.8558098165233634,0.4366224302010986,0.1976640312685527,7.033163330913415,8.768922265367475,11.052813833089415,1528.5551092459618,-6405.813690649463,8.194924747743519,0.8056874904824636,-0.08122292875103747,-0.580292813409701,-2.487227214301353,-15.520004943844551,-1.2878527228555188,1531.309975143336,-6340.622130261201,8.383840969995047,-0.6137639715376684,-0.600460138786765,-0.547382634416488,12.228585290771532,-4.286265635193333,-9.014061117319168,1527.3416025606568,-6446.7945047585945,8.083944012224489,-0.24297629558009717,-0.7245690266384708,-0.6184655003880384,-10.033680798243022,9.661029156709844,-7.382935023488767
0.018817561255837032,1528.141881640591,-6406.590623651615,8.191455585277007,-0.6998403684618755,-0.2300343823555973,0.6702274896924337,9.2536984729414,-11.39760131628261,5.754296543624059,1527.2862959300294,-6457.836234529588,8.065085230146467,-0.8271254255873406,0.4695052531410819,0.23978399866039427,7.871730007628277,8.317547155710578,10.83343164440639,1528.226301311098,-6404.216184296691,8.19419338064311,0.7946322074318517,-0.14075104684799278,-0.5841698858841962,-3.25728432384759,-15.41180925636493,-0.7267395279276813,1530.9955463286358,-6339.90682713675,8.383094370235508,-0.5656512834273488,-0.6158788871004417,-0.5810735597227319,12.771578948876206,-3.725576050472827,-8.492311923208268,1527.227115279236,-6445.93484588289,8.083810764670337,-0.2810991863410626,-0.6860451320337948,-0.6456805380061764,-9.775616244751836,10.356636247048943,-6.758457548083442
0.02258107350700444,1527.9399054235273,-6405.719788944169,8.191007301885138,-0.6629601810501164,-0.27343560829757574,0.6911125651637595,9.9098689496239,-11.154407714341419,5.097940931517031,1527.1368019978459,-6457.611711571197,8.064397336824278,-0.7952727646230653,0.5005898702415047,0.2809790540505631,8.679449875540632,7.834544181511002,10.57221395689838,1527.8982947698294,-6402.443727577998,8.193514927378342,0.7806368038395094,-0.1997531902948235,-0.5858833327284566,-4.01496343762529,-15.246699644235138,-0.16359635237472225,1530.5563247406935,-6339.110868529478,8.382090661025222,-0.5155375116427428,-0.6291143727866141,-0.6126991077949179,13.268382119411259,-3.1518055497218858,-7.9408562706084,1527.1570046871389,-6445.135797527588,8.08388451866653,-0.3181586864318898,-0.644919741125581,-0.6704429993006891,-9.481125070252814,11.012810514428928,-6.108534999106134
0.026344585758171845,1527.7639711422714,-6404.906056995889,8.190664962324343,-0.6236255146447202,-0.31582190498362195,0.7094356215542477,10.529087156753866,-10.87022695649312,4.423028216666558,1526.9860207600946,-6457.3419525298505,8.063660749326239,-0.7603770513929208,0.5297593168993687,0.321090864615202,9.452951290923087,7.322392291340833,10.270559362402453,1527.6005046387547,-6400.679575842343,8.192979561372443,0.7637542903454421,-0.2580119657422728,-0.5854293719476314,-4.757475324515409,-15.025542705794695,0.3994820308669379,1530.0177289102164,-6338.354255108947,8.38090607058566,-0.46360320400926497,-0.6401196940307257,-0.6421486869683177,13.717560082202196,-2.566744991083655,-7.361641782199288,1527.2373633603754,-6444.6677093509825,8.084449139381771,-0.35401696103565244,-0.6013479298967859,-0.6926595945468107,-9.151439221081706,11.627837508419057,-5.4355826092319655
0.03010809800933925,1527.6170022644633,-6404.181862333845,8.190447600607335,-0.5819829921201465,-0.3570377007964606,0.7251302597899677,11.109069914837384,-10.546195718251278,3.7321705258185323,1526.914450698266,-6457.271849253637,8.063131960496976,-0.7225755420397296,0.5569064634775523,0.35996691208214177,10.189350551980153,6.783722950779947,9.930090608210495,1527.328262295966,-6399.047491207362,8.192587711669558,0.7440484306416114,-0.31531341973749016,-0.5828120715340754,-5.482021748473007,-14.749259270896198,0.9605114089791669,1529.3767359764756,-6337.691191099509,8.37952561052134,-0.41003449171514134,-0.6488550476104069,-0.6693191124073651,14.117646347934523,-1.9722920646443667,-6.756569548661587,1527.562569592478,-6444.815288132394,8.08574595561741,-0.3885409341796438,-0.555491197007177,-0.7122462254701366,-8.787799526625012,12.200094348250323,-4.7419611784219295
0.03387161026050666,1527.4907778988204,-6403.542113729397,8.190348369111522,-0.5381876887459333,-0.39693190827102137,0.7381403385690686,11.647708396322718,-10.18350736522044,3.028085843613338,1527.006178037559,-6457.5736825964395,8.063088961029184,-0.682015699759726,0.5819341698281889,0.3974611739006803,10.886227603396485,6.2210954013541855,9.552560233465655,1527.0713995207034,-6397.571391950367,8.192330482708137,0.7215939986042196,-0.37144768480264606,-0.5780434641400604,-6.185679868107418,-14.419051651224516,1.5173374231505083,1528.6058823376063,-6337.041803789849,8.377858861127299,-0.3550232842540197,-0.6552884505064128,-0.6941147083112346,14.467104900965175,-1.3706125897617014,-6.127640300418073,1528.165832848903,-6445.677368440984,8.087846741871683,-0.4216023151782093,-0.5075177338918597,-0.7291277484051253,-8.39145167335991,12.72772623574176,-4.029962872514154
